Pays;Pourcentage de population urbaine;Croissance annuelle du PIB par habitant en %;PIB par habitant en US$;Stabilité politique;Émissions de CO2 par personne imputables à l'élevage;Densité des poulets dans la superficie agricole par habitant;Part des poulets dans l'élevage en %;Taux de dépendance aux importations de viande de volaille en %;Taux d'autosuffisance en viande de volaille en %
Slovaquie;53.3324151354055;13.714704;24086.08618;0.573219299316406;0.25;0.05;19.53;103.30578512396693;44.62809917355372
Slovénie;55.06751334500254;15.213926;32641.899068;0.818632841110229;0.64;0.07;10.75;44.44444444444444;119.04761904761905
Sri Lanka;17.778395835173466;12.437003;3672.519292;-0.508541285991669;0.1;0.06;18.76;0.0;100.42553191489361
Suisse;73.9973604826121;7.002083;100830.693983;1.07144391536713;0.6;0.09;6.81;30.967741935483872;70.96774193548387
Suriname;62.40813120342955;2.854148;5976.494775;0.412738472223282;0.16;0.72;61.51;69.56521739130434;43.47826086956522
Sénégal;51.030992932513676;7.499366;1682.091187;-0.138591378927231;0.55;0.11;20.84;0.6666666666666667;98.66666666666667
Tadjikistan;27.210285781274496;10.324492;1160.811678;-0.47282150387764;0.68;0.03;4.83;12.5;87.5
Tchéquie;73.30205529914015;12.272648;31749.943713;0.967361629009247;0.37;0.06;15.65;53.57142857142857;61.07142857142858
Thaïlande;52.05132015391109;3.941374;7181.694737;-0.280302882194519;0.19;0.13;33.94;0.2466091245376079;236.25154130702833
Timor-Leste;34.52776377135939;-35.878662;1502.519645;0.260184526443481;0.65;0.02;2.01;85.71428571428571;14.285714285714285
Tonga;25.212960218744325;0.943907;4859.467165;1.08757400512695;0.8;0.1;9.26;100.0;0.0
Trinité-et-Tobago;49.10647986735262;-11.013066;16959.758316;0.401362389326096;0.17;7.53;91.54;32.432432432432435;67.56756756756756
Tunisie;70.74285326477401;8.11679;3978.634258;-0.630951106548309;0.32;0.1;39.57;0.0;100.40650406504066
Turkménistan;46.04648718612337;3.984239;8131.962662;-0.111424535512924;1.37;0.01;5.83;61.904761904761905;38.095238095238095
Tuvalu;79.91035044824775;8.201325;6880.364352;1.18908190727234;0.76;0.32;16.44;0.0;0.0
Türkiye;75.80634950176349;22.975756;12813.641077;-1.01108038425446;0.46;0.1;17.89;3.5997882477501326;126.04552673372153
Ukraine;79.7242486623587;20.04853;4737.439395;-1.42982339859009;0.26;0.04;36.94;6.786850477200425;139.66065747614
Uruguay;99.7335955073093;10.179149;22796.314998;0.964887142181396;7.66;0.03;5.09;12.048192771084338;89.1566265060241
Vanuatu;25.27737984888065;3.45735;3491.938384;0.932254612445831;0.86;0.02;5.37;100.0;16.666666666666664
Venezuela (République bolivarienne du);107.22088810464871;7.411267;4925.466386;-1.18902802467346;1.31;0.06;9.22;6.493506493506493;93.5064935064935
Viet Nam;39.76843973672244;4.025443;4282.088539;-0.0363807342946529;0.25;0.37;27.04;12.322515212981743;88.23529411764706
Yémen;32.59966115437262;-22.461035;222.334654;-2.56293869018555;0.22;0.03;14.64;36.44859813084112;63.55140186915887
Zambie;45.57954040165576;-7.957634;1330.727814;0.201727285981178;0.38;0.02;12.01;32.857142857142854;72.85714285714285
Zimbabwe;37.436984504206706;13.038369;1858.425757;-0.934447467327118;0.62;0.01;4.34;7.547169811320755;92.45283018867924
Égypte;40.68419166022647;-20.343823;2895.074499;-0.866764307022095;0.09;0.67;39.43;1.1520737327188941;98.98617511520737
Émirats arabes unis;84.02094477574452;-1.57652;48311.080573;0.677530944347382;0.21;0.67;21.58;104.0885860306644;10.221465076660987
Équateur;64.9667190079156;1.051917;6609.804126;-0.338139981031418;0.5;0.32;36.27;0.1763668430335097;99.82363315696648
États-Unis d'Amérique;82.09687693075877;5.986737;80706.052992;0.029424749314785;0.74;0.04;11.81;0.8423521885162873;119.65133017006984
Éthiopie;21.726261863120115;30.832639;1241.311299;-1.96956777572632;0.99;0.01;1.07;0.0;98.46153846153847
Îles Salomon;22.256985893838163;1.806171;2041.632098;0.445870101451874;0.09;0.02;10.75;100.0;0.0
