Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","068","Bolivie (État plurinational de)","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","230551","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","070","Bosnie-Herzégovine","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","9383","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","072","Botswana","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","770","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","076","Brésil","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","1554374","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","096","Brunéi Darussalam","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","21131","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","854","Burkina Faso","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","32977","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","108","Burundi","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","3213","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","132","Cabo Verde","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","673","E","Valeur estimée",""
"QCL","Cultures et produits animaux","116","Cambodge","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","13045","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","120","Cameroun","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","44086","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","124","Canada","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","172634","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","152","Chili","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","52345","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","159","Chine","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","5326091","E","Valeur estimée",""
"QCL","Cultures et produits animaux","344","Chine - RAS de Hong-Kong","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","4023","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","446","Chine - RAS de Macao","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","801","E","Valeur estimée",""
"QCL","Cultures et produits animaux","156","Chine, continentale","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","5219059","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","158","Chine, Taiwan Province de","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","102208","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","196","Chypre","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","4655","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","170","Colombie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","208331","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","174","Comores","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","550","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","178","Congo","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","3002","E","Valeur estimée",""
"QCL","Cultures et produits animaux","188","Costa Rica","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","23665","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","384","Côte d'Ivoire","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","117773","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","191","Croatie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","10080","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","192","Cuba","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","5590","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","208","Danemark","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","21844","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","212","Dominique","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","204","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","818","Égypte","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","257054","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","222","El Salvador","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","18729","E","Valeur estimée",""
"QCL","Cultures et produits animaux","784","Émirats arabes unis","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","26023","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","218","Équateur","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","178140","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","232","Érythrée","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","1184","E","Valeur estimée",""
"QCL","Cultures et produits animaux","233","Estonie","5112","Réserves","02151","Poulets","2023","2023","1000 têtes","2132","A","Chiffre officiel",""
