Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","158","Chine, Taiwan Province de","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","1.32","E","Valeur estimée"
"EK","Tendances dans l’élevage","158","Chine, Taiwan Province de","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","42.25","E","Valeur estimée"
"EK","Tendances dans l’élevage","158","Chine, Taiwan Province de","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1027170","E","Valeur estimée"
"EK","Tendances dans l’élevage","170","Colombie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","170","Colombie","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","7.84","E","Valeur estimée"
"EK","Tendances dans l’élevage","170","Colombie","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","2083310","E","Valeur estimée"
"EK","Tendances dans l’élevage","174","Comores","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.04","E","Valeur estimée"
"EK","Tendances dans l’élevage","174","Comores","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","11.33","E","Valeur estimée"
"EK","Tendances dans l’élevage","174","Comores","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","5370","E","Valeur estimée"
"EK","Tendances dans l’élevage","178","Congo","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","178","Congo","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","11.65","E","Valeur estimée"
"EK","Tendances dans l’élevage","178","Congo","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","30300","E","Valeur estimée"
"EK","Tendances dans l’élevage","188","Costa Rica","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.16","E","Valeur estimée"
"EK","Tendances dans l’élevage","188","Costa Rica","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","13.3","E","Valeur estimée"
"EK","Tendances dans l’élevage","188","Costa Rica","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","267410","E","Valeur estimée"
"EK","Tendances dans l’élevage","384","Côte d'Ivoire","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","384","Côte d'Ivoire","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","45.11","E","Valeur estimée"
"EK","Tendances dans l’élevage","384","Côte d'Ivoire","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","1385440","E","Valeur estimée"
"EK","Tendances dans l’élevage","191","Croatie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.07","E","Valeur estimée"
"EK","Tendances dans l’élevage","191","Croatie","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","16.47","E","Valeur estimée"
"EK","Tendances dans l’élevage","191","Croatie","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","103430","E","Valeur estimée"
"EK","Tendances dans l’élevage","192","Cuba","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.05","E","Valeur estimée"
"EK","Tendances dans l’élevage","192","Cuba","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","8.65","E","Valeur estimée"
"EK","Tendances dans l’élevage","192","Cuba","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","302420","E","Valeur estimée"
"EK","Tendances dans l’élevage","208","Danemark","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.08","E","Valeur estimée"
"EK","Tendances dans l’élevage","208","Danemark","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","4.63","E","Valeur estimée"
"EK","Tendances dans l’élevage","208","Danemark","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","201560","E","Valeur estimée"
"EK","Tendances dans l’élevage","212","Dominique","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.08","E","Valeur estimée"
"EK","Tendances dans l’élevage","212","Dominique","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","15.37","E","Valeur estimée"
"EK","Tendances dans l’élevage","212","Dominique","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","2040","E","Valeur estimée"
"EK","Tendances dans l’élevage","818","Égypte","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.67","E","Valeur estimée"
"EK","Tendances dans l’élevage","818","Égypte","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","39.43","E","Valeur estimée"
"EK","Tendances dans l’élevage","818","Égypte","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","2733330","E","Valeur estimée"
"EK","Tendances dans l’élevage","222","El Salvador","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2023","2023","UGB/ha","0.16","E","Valeur estimée"
"EK","Tendances dans l’élevage","222","El Salvador","7211","Part du total des animaux","02151","Poulets","2023","2023","% du total des UGB","22.38","E","Valeur estimée"
"EK","Tendances dans l’élevage","222","El Salvador","5118","Réserves","02151","Poulets","2023","2023","Unités de gros bétail (UGB)","187730","E","Valeur estimée"
