Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","132","Cabo Verde","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","188.312","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","132","Cabo Verde","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","399.834","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","116","Cambodge","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","17423.88","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","116","Cambodge","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","12939.941","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","116","Cambodge","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","4445.36","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","120","Cameroun","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","28372.687","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","120","Cameroun","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","11373.878","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","120","Cameroun","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","16581.877","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","124","Canada","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","39299.105","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","124","Canada","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","6993.543","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","124","Canada","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","31563.358","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","152","Chili","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","19658.835","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","152","Chili","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","2260.874","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","152","Chili","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","16597.903","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","159","Chine","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1454058.724","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","159","Chine","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","513079.075","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","159","Chine","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","953931.777","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","344","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","7442.734","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","344","Chine - RAS de Hong-Kong","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","0","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","344","Chine - RAS de Hong-Kong","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","7684.801","X","Chiffre de source externe",""
